,name,gender,count,eligible,vowels,rem_count
627,Abdurrahman,M,794,,1,0
628,Abdurrehman,M,36,,1,0
629,Abdussamad,M,6,,1,0
630,Abe,M,9290,,3,0
631,Abeal,M,5,,2,0
632,Abed,M,193,,3,0
633,Abedallah,M,16,,1,0
634,Abedalrahman,M,11,,0,0
635,Abednego,M,68,,1,0
636,Abeeha,F,111,,1,0
637,Abeer,F,541,,2,0
638,Abeer,M,66,,2,0
639,Abeera,F,60,,1,0
640,Abegail,F,507,,1,0
641,Abegale,F,5,,1,0
642,Abegayle,F,23,,0,0
643,Abel,F,124,,3,0
644,Abel,M,52819,,3,0
645,Abela,F,22,,2,0
646,Abelardo,M,4448,,1,0
647,Abelina,F,528,,1,0
648,Abelino,M,846,,1,0
649,Abell,F,5,,3,0
650,Abell,M,24,,3,0
651,Abella,F,800,,2,0
652,Abem,M,67,,3,0
653,Aben,M,28,,3,0
654,Abena,F,587,,2,0
655,Abenezer,M,173,,1,0
656,Abeni,F,365,,2,0
657,Aber,F,5,,3,0
658,Aberdeen,F,173,,1,0
659,Aberham,M,25,,2,0
660,Abernathy,F,33,,1,0
661,Abert,M,15,,3,0
662,Abery,F,7,,2,0
663,Abey,F,17,,2,0
664,Abey,M,10,,2,0
665,Abgail,F,29,,2,0
666,Abha,F,57,,3,0
667,Abhay,M,699,,2,0
668,Abheek,M,7,,2,0
669,Abhi,M,252,,3,0
670,Abhigna,F,48,,2,0
671,Abhijay,M,100,,1,0
672,Abhijeet,M,45,,1,0
673,Abhijit,M,42,,2,0
674,Abhijot,M,50,,2,0
675,Abhik,M,21,,3,0
676,Abhilash,M,22,,2,0
677,Abhimanyu,M,200,,0,0
678,Abhinav,M,1786,,2,0
679,Abhinay,M,5,,1,0
680,Abhinaya,F,5,,0,0
681,Abhir,M,5,,3,0
682,Abhiraam,M,6,,1,0
683,Abhiraj,M,78,,2,0
684,Abhiram,M,934,,2,0
685,Abhirami,F,5,,1,0
686,Abhirup,M,10,,2,0
687,Abhishek,M,758,,2,0
688,Abhyuday,M,10,,0,0
689,Abi,F,526,,3,0
690,Abi,M,22,,3,0
691,Abia,F,98,,2,0
692,Abiageal,F,145,,0,0
693,Abiah,F,54,,2,0
694,Abian,M,20,,2,0
695,Abianna,F,10,,1,0
696,Abibail,F,6,,1,0
697,Abid,M,339,,3,0
698,Abida,F,44,,2,0
699,Abidah,F,5,,2,0
700,Abidan,M,16,,2,0
701,Abie,F,67,,2,0
702,Abie,M,652,,2,0
703,Abiegail,F,15,,0,0
704,Abiel,F,28,,2,0
705,Abiel,M,1179,,2,0
706,Abiela,F,20,,1,0
707,Abiella,F,16,,1,0
708,Abiezer,M,12,,1,0
709,Abigael,F,1710,,1,0
710,Abigael,M,5,,1,0
711,Abigaelle,F,172,,0,0
712,Abigahil,F,42,,1,0
713,Abigai,F,12,,1,0
714,Abigail,F,366335,,1,0
715,Abigail,M,640,,1,0
716,Abigaile,F,591,,0,0
717,Abigailgrace,F,18,,-1,0
718,Abigaille,F,27,,0,0
719,Abigailmarie,F,11,,-2,0
720,Abigailrose,F,25,,-1,0
721,Abigal,F,768,,2,0
722,Abigale,F,5601,,1,0
723,Abigayil,F,21,,0,0
724,Abigayl,F,345,,1,0
725,Abigayle,F,5934,,0,0
726,Abigayle,M,5,,0,0
727,Abigeal,F,22,,1,0
728,Abigel,F,31,,2,0
729,Abigial,F,172,,1,0
730,Abiha,F,129,,2,0
731,Abihail,F,29,,1,0
732,Abijah,F,57,,2,0
733,Abijah,M,272,,2,0
734,Abilene,F,1132,,1,0
735,Abilgail,F,28,,1,0
736,Abilio,M,5,,1,0
737,Abilyn,F,5,,2,0
738,Abilynn,F,6,,2,0
739,Abimael,M,1171,,1,0
740,Abimbola,F,80,,1,0
741,Abimbola,M,5,,1,0
742,Abimelec,M,67,,1,0
743,Abin,M,10,,3,0
744,Abinadab,M,5,,1,0
745,Abinadi,M,22,,1,0
746,Abinav,M,44,,2,0
747,Abinaya,F,58,,0,0
748,Abiodun,M,18,,1,0
749,Abiola,F,163,,1,0
750,Abiola,M,44,,1,0
751,Abiona,F,19,,1,0
752,Abir,F,97,,3,0
753,Abir,M,359,,3,0
754,Abira,F,27,,2,0
755,Abiram,M,12,,2,0
756,Abirami,F,36,,1,0
757,Abisag,F,16,,2,0
758,Abisai,F,75,,1,0
759,Abisai,M,895,,1,0
760,Abisaid,M,5,,1,0
761,Abish,F,24,,3,0
762,Abisha,F,53,,2,0
763,Abishai,F,26,,1,0
764,Abishai,M,206,,1,0
765,Abishek,M,50,,2,0
766,Abisola,F,105,,1,0
767,Abiud,M,6,,2,0
768,Abiy,M,9,,2,0
769,Abiya,F,5,,1,0
770,Abiyah,F,12,,1,0
